File,Compressor,Original_Size,Compressed_Size,CR
gray.raw,LZSS,1300801,530673,0.40795863471814675
gray.raw,LZSS+HA,1300801,516428,0.39700768987723717
gray.raw,LZW,1300801,866709,0.6662886944275105
gray.raw,LZW+HA,1300801,789692,0.6070813291195194
color.raw,LZSS,14745601,8624632,0.5848952511328633
color.raw,LZSS+HA,14745601,8010979,0.5432792464681501
color.raw,LZW,14745601,25648157,1.7393768487293262
color.raw,LZW+HA,14745601,16375832,1.1105571078452483
enwik7,LZSS,10000000,5106977,0.5106977
enwik7,LZSS+HA,10000000,4851206,0.4851206
enwik7,LZW,10000000,4665551,0.4665551
enwik7,LZW+HA,10000000,4636566,0.4636566
random.exe,LZSS,2410312,2709867,1.1242805910604103
random.exe,LZSS+HA,2410312,2696288,1.1186468805698184
random.exe,LZW,2410312,2837087,1.1770621396732042
random.exe,LZW+HA,2410312,2596678,1.077320280527998
